sale_id,drug_id,hospital_id,sale_date,units_sold,revenue
S000062,D0040,H013,2025-08-27,205,32441.25
S000063,D0079,H010,2023-08-15,811,52577.13
S000064,D0090,H080,2024-10-21,226,52337.08
S000065,D0040,H010,2025-08-25,778,123118.5
S000066,D0017,H050,2023-05-21,399,140603.61
S000067,D0062,H029,2024-10-25,899,231600.38
S000068,D0059,H031,2024-01-16,507,109030.35
S000069,D0091,H011,2025-08-31,587,71502.47
S000070,D0110,H058,2025-09-30,530,168169.0
S000071,D0082,H098,2023-02-19,403,167934.13
S000072,D0111,H037,2024-02-17,452,175823.48
S000073,D0034,H088,2025-12-28,398,29356.48
S000074,D0010,H017,2025-07-04,112,38620.96
S000075,D0104,H012,2025-04-09,887,333210.42
S000076,D0008,H079,2024-02-04,911,381299.05
S000077,D0035,H075,2025-02-01,590,224636.6
S000078,D0120,H077,2025-07-02,20,6029.8
S000079,D0031,H086,2024-09-05,880,324764.0
S000080,D0067,H080,2023-04-01,784,125471.36
S000081,D0074,H081,2024-05-22,920,324438.0
S000082,D0073,H099,2025-04-22,572,185459.56
S000083,D0046,H077,2025-04-01,836,132723.36
S000084,D0109,H063,2025-09-08,162,54083.7
S000085,D0116,H023,2024-12-27,363,6178.26
S000086,D0097,H088,2023-02-09,727,258513.93
S000087,D0007,H075,2024-05-24,733,215509.33
S000088,D0025,H083,2025-02-11,612,6120.0
S000089,D0104,H021,2025-04-25,193,72502.38
S000090,D0056,H075,2025-05-11,469,9103.29
S000091,D0032,H057,2023-06-20,456,99822.96
S000092,D0025,H022,2025-03-12,471,4710.0
S000093,D0021,H028,2024-11-07,258,86858.28
S000094,D0006,H055,2023-03-29,174,69185.88
S000095,D0115,H039,2023-08-07,186,14539.62
S000096,D0027,H033,2023-03-21,487,142106.6
S000097,D0002,H069,2025-08-10,914,378587.94
S000098,D0028,H041,2023-02-18,781,338297.96
S000099,D0060,H040,2024-09-28,636,317739.24
S000100,D0032,H056,2025-04-14,152,33274.32
S000101,D0044,H090,2024-06-27,531,233756.82
S000102,D0042,H008,2025-07-03,773,232008.22
S000103,D0070,H085,2024-08-14,44,12152.8
S000104,D0094,H036,2023-04-19,816,244065.6
S000105,D0094,H004,2024-06-03,887,265301.7
S000106,D0115,H023,2025-04-11,664,51904.88
S000107,D0113,H002,2023-03-26,170,18608.2
S000108,D0041,H015,2023-09-30,787,159430.46
S000109,D0087,H059,2023-06-13,142,9204.44
S000110,D0077,H044,2023-09-25,119,50741.6
S000111,D0005,H084,2025-09-26,725,194923.5
S000112,D0013,H032,2024-12-02,843,270704.16
S000113,D0085,H066,2023-02-04,469,7428.96
S000114,D0098,H080,2025-11-10,149,34113.55
S000115,D0019,H055,2024-07-06,636,188039.76
S000116,D0074,H010,2023-07-16,76,26801.4
S000117,D0017,H034,2023-07-05,875,308341.25
S000118,D0104,H040,2024-09-29,933,350490.78
S000119,D0076,H082,2023-11-15,714,316187.76
S000120,D0057,H020,2024-10-18,566,112950.96
S000121,D0083,H092,2024-09-19,21,596.61
S000122,D0120,H030,2024-09-03,922,277973.78
S000123,D0066,H049,2023-04-02,738,358778.7
S000124,D0075,H020,2023-01-12,880,376006.4
S000125,D0094,H098,2025-07-03,152,45463.2
S000126,D0002,H074,2025-07-11,373,154500.33
S000127,D0062,H097,2023-03-05,976,251437.12
S000128,D0029,H007,2024-03-11,938,270997.58
S000129,D0114,H049,2024-10-29,439,14930.39
S000130,D0066,H095,2023-12-19,95,46184.25
S000131,D0083,H037,2024-05-03,197,5596.77
S000132,D0043,H072,2025-01-09,56,560.0
S000133,D0116,H072,2024-08-03,588,10007.76
S000134,D0027,H021,2023-05-01,271,79077.8
S000135,D0064,H017,2025-08-19,22,9445.92
S000136,D0043,H006,2023-10-27,459,4590.0
S000137,D0073,H087,2023-03-20,657,213019.11
S000138,D0025,H083,2023-02-25,125,1250.0
S000139,D0079,H040,2024-10-25,513,33257.79
S000140,D0084,H045,2023-10-18,985,248446.55
S000141,D0066,H023,2023-07-01,376,182792.4
S000142,D0104,H021,2023-03-04,47,17656.02
S000143,D0095,H004,2023-04-13,984,68466.72
S000144,D0001,H022,2025-04-21,702,260069.94
S000145,D0010,H002,2025-07-18,717,247243.11
S000146,D0063,H036,2025-05-30,120,32624.4
S000147,D0046,H092,2025-09-21,872,138438.72
S000148,D0071,H034,2025-10-23,147,9831.36
S000149,D0045,H040,2025-08-01,72,19287.36
S000150,D0072,H044,2023-03-18,196,4907.84
S000151,D0087,H035,2023-08-21,894,57949.08
S000152,D0094,H093,2023-08-08,694,207575.4
S000153,D0101,H079,2024-04-29,485,182098.1
S000154,D0025,H067,2023-10-25,820,8200.0
S000155,D0070,H046,2024-08-07,823,227312.6
S000156,D0067,H041,2024-05-26,407,65136.28
S000157,D0015,H064,2023-02-06,381,101113.59
S000158,D0009,H037,2024-05-24,522,147465.0
S000159,D0088,H004,2024-09-14,134,8464.78
S000160,D0115,H034,2025-11-11,388,30329.96
S000161,D0114,H049,2024-03-31,430,14624.3
S000162,D0070,H001,2025-07-04,368,101641.6
S000163,D0051,H063,2023-10-15,145,9746.9
S000164,D0017,H027,2023-12-05,399,140603.61
S000165,D0021,H092,2023-10-26,229,77095.14
S000166,D0013,H008,2024-06-08,858,275520.96
S000167,D0112,H040,2024-09-17,473,231320.65
S000168,D0034,H082,2025-12-09,516,38060.16
S000169,D0061,H022,2025-05-04,741,285692.55
S000170,D0008,H065,2023-08-21,369,154444.95
S000171,D0081,H096,2024-11-13,526,28314.58
S000172,D0007,H082,2024-03-02,111,32635.11
S000173,D0099,H088,2024-07-23,784,305493.44
S000174,D0018,H031,2025-09-03,956,334274.96
S000175,D0065,H086,2023-04-29,933,99075.27
S000176,D0113,H081,2024-02-29,300,32838.0
S000177,D0039,H032,2023-01-01,323,115113.97
S000178,D0003,H080,2023-10-12,350,87612.0
S000179,D0022,H007,2024-08-16,851,317780.42
S000180,D0106,H054,2023-09-04,756,346316.04
S000181,D0037,H007,2023-08-21,893,22967.96
S000182,D0066,H044,2025-01-23,737,358292.55
S000183,D0074,H088,2025-04-08,182,64182.3
S000184,D0072,H062,2023-06-15,518,12970.72
S000185,D0034,H012,2023-09-16,393,28987.68
S000186,D0063,H023,2023-06-10,81,22021.47
S000187,D0015,H039,2025-03-08,747,198246.33
S000188,D0061,H059,2024-05-24,260,100243.0
S000189,D0048,H055,2024-03-31,388,17351.36
S000190,D0069,H012,2024-02-18,851,214996.64
S000191,D0097,H096,2025-12-15,162,57605.58
S000192,D0094,H081,2025-07-31,53,15852.3
S000193,D0034,H075,2025-12-24,819,60409.44
S000194,D0087,H073,2023-09-28,120,7778.4
S000195,D0013,H008,2025-08-20,928,297999.36
S000196,D0090,H022,2025-02-01,979,226716.82
S000197,D0010,H046,2025-09-04,634,218622.22
S000198,D0093,H035,2023-08-27,591,153583.17
S000199,D0093,H056,2024-11-01,748,194382.76
S000200,D0062,H049,2024-10-24,438,112837.56
S000201,D0084,H023,2024-05-09,517,130402.91
S000202,D0117,H076,2024-04-21,913,76810.69
S000203,D0029,H073,2024-10-25,372,107474.52
S000204,D0018,H050,2025-01-18,66,23077.56
S000205,D0083,H031,2023-09-05,737,20938.17
S000206,D0102,H023,2025-12-13,238,85139.74
S000207,D0074,H046,2023-07-28,978,344891.7
S000208,D0060,H053,2025-02-14,355,177354.45
S000209,D0039,H023,2023-01-11,915,326096.85
S000210,D0010,H095,2023-04-30,907,312760.81
S000211,D0019,H091,2024-12-12,875,258702.5
S000212,D0103,H032,2023-08-16,425,41310.0
S000213,D0108,H031,2024-04-18,180,48351.6
S000214,D0043,H037,2025-02-08,552,5520.0
S000215,D0103,H078,2023-04-19,180,17496.0
S000216,D0108,H014,2023-02-06,542,145592.04
S000217,D0098,H008,2024-02-27,975,223226.25
S000218,D0059,H001,2024-04-26,391,84084.55
S000219,D0094,H011,2025-07-01,764,228512.4
S000220,D0099,H047,2025-02-08,581,226392.46
S000221,D0079,H007,2025-02-05,458,29692.14
S000222,D0101,H046,2025-03-17,470,176466.2
S000223,D0055,H062,2023-09-22,157,3160.41
S000224,D0029,H033,2025-02-01,252,72805.32
S000225,D0019,H001,2023-04-15,296,87515.36
S000226,D0072,H066,2024-02-11,869,21759.76
S000227,D0120,H065,2024-05-22,60,18089.4
S000228,D0112,H045,2025-01-20,948,463619.4
S000229,D0119,H092,2023-06-04,949,453830.78
S000230,D0020,H088,2024-07-13,162,29514.78
S000231,D0050,H071,2025-06-26,342,76837.14
S000232,D0057,H051,2023-11-11,660,131709.6
S000233,D0023,H026,2024-11-11,830,118739.8
S000234,D0025,H018,2023-03-02,630,6300.0
S000235,D0029,H099,2024-06-13,502,145032.82
S000236,D0050,H076,2023-11-04,741,166480.47
S000237,D0095,H052,2023-10-20,496,34511.68
S000238,D0078,H074,2023-02-14,240,89392.8
S000239,D0083,H066,2023-07-16,95,2698.95
S000240,D0052,H096,2025-03-30,183,2840.16
S000241,D0116,H015,2025-06-03,610,10382.2
S000242,D0106,H018,2025-11-13,225,103070.25
S000243,D0036,H078,2024-08-30,620,258366.4
S000244,D0083,H039,2024-09-01,91,2585.31
S000245,D0031,H037,2023-12-03,692,255382.6
S000246,D0050,H052,2024-08-06,539,121097.13
S000247,D0100,H052,2023-10-25,388,185902.44
S000248,D0064,H026,2023-05-30,114,48947.04
S000249,D0115,H078,2025-08-15,933,72932.61
S000250,D0099,H030,2024-11-09,600,233796.0
S000251,D0090,H093,2023-02-03,731,169284.98
S000252,D0117,H019,2025-10-02,597,50225.61
S000253,D0060,H018,2024-08-10,235,117403.65
S000254,D0065,H002,2025-06-11,410,43537.9
S000255,D0005,H055,2025-11-05,210,56460.6
S000256,D0053,H024,2025-12-02,887,271351.04
S000257,D0039,H051,2024-03-31,418,148971.02
S000258,D0078,H020,2024-09-18,155,57732.85
S000259,D0079,H034,2023-10-14,521,33776.43
S000260,D0081,H063,2023-01-09,272,14641.76
S000261,D0008,H058,2025-05-26,960,401808.0
S000262,D0117,H027,2024-12-17,783,65873.79
S000263,D0027,H096,2023-07-08,984,287131.2
S000264,D0065,H057,2024-01-17,930,98756.7
S000265,D0113,H009,2025-01-08,612,66989.52
S000266,D0019,H048,2025-10-27,496,146647.36
S000267,D0113,H069,2025-04-01,650,71149.0
S000268,D0040,H016,2024-03-07,137,21680.25
S000269,D0120,H024,2024-03-14,641,193255.09
S000270,D0040,H082,2025-09-27,23,3639.75
S000271,D0010,H073,2025-11-04,401,138276.83
S000272,D0027,H014,2023-01-17,51,14881.8
S000273,D0063,H059,2024-08-13,38,10331.06
S000274,D0100,H001,2025-01-16,450,215608.5
S000275,D0072,H066,2025-01-08,57,1427.28
S000276,D0102,H053,2024-10-13,429,153466.17
S000277,D0120,H082,2025-04-19,397,119691.53
S000278,D0110,H012,2023-09-18,967,306829.1
S000279,D0011,H022,2023-02-02,520,197787.2
S000280,D0012,H017,2025-11-16,397,111017.08
S000281,D0029,H066,2023-12-07,50,14445.5
S000282,D0070,H085,2023-10-31,990,273438.0
S000283,D0030,H025,2024-10-05,413,194605.6
S000284,D0068,H056,2024-04-26,225,19563.75
S000285,D0112,H052,2025-04-03,871,425962.55
S000286,D0119,H071,2023-07-17,147,70298.34
S000287,D0022,H035,2025-01-03,421,157209.82
S000288,D0081,H011,2025-09-03,58,3122.14
S000289,D0070,H013,2025-10-24,161,44468.2
S000290,D0051,H005,2023-08-28,279,18754.38
S000291,D0031,H026,2024-11-02,568,209620.4
S000292,D0060,H080,2025-09-17,620,309745.8
S000293,D0016,H067,2024-12-09,335,15215.7
S000294,D0034,H046,2025-06-28,462,34077.12
S000295,D0048,H044,2025-05-19,894,39979.68
S000296,D0050,H034,2023-09-25,253,56841.51
S000297,D0101,H016,2024-06-06,704,264323.84
S000298,D0037,H077,2025-10-06,473,12165.56
S000299,D0076,H081,2025-08-19,434,192192.56
S000300,D0007,H014,2024-07-18,913,268431.13
S000301,D0039,H008,2025-06-26,769,274063.91
S000302,D0011,H029,2025-06-19,459,174585.24
S000303,D0016,H025,2025-07-02,117,5314.14
S000304,D0052,H033,2024-06-15,48,744.96
S000305,D0033,H029,2024-06-11,26,1214.2
S000306,D0043,H081,2024-12-15,249,2490.0
S000307,D0079,H007,2025-08-25,141,9141.03
S000308,D0001,H017,2024-10-07,242,89653.74
S000309,D0030,H002,2024-01-03,571,269055.2
S000310,D0007,H090,2024-01-10,951,279603.51
S000311,D0058,H057,2023-05-25,461,218389.53
S000312,D0035,H005,2025-06-30,129,49115.46
S000313,D0087,H096,2023-03-01,208,13482.56
S000314,D0085,H061,2025-01-20,30,475.2
S000315,D0053,H075,2025-08-31,187,57207.04
S000316,D0105,H098,2023-12-16,910,375602.5
S000317,D0041,H031,2023-10-10,358,72523.64
S000318,D0057,H072,2025-01-11,598,119336.88
S000319,D0114,H025,2024-11-17,821,27922.21
S000320,D0034,H008,2023-04-04,824,60778.24
S000321,D0081,H049,2024-04-04,242,13026.86
S000322,D0118,H068,2025-03-23,189,92061.9
S000323,D0019,H007,2024-04-21,500,147830.0
S000324,D0084,H053,2025-06-09,659,166219.57
S000325,D0084,H066,2024-06-04,446,112494.58
S000326,D0003,H070,2023-06-10,227,56822.64
S000327,D0117,H061,2025-01-11,795,66883.35
S000328,D0088,H024,2025-03-25,248,15666.16
S000329,D0092,H053,2025-09-24,624,141385.92
S000330,D0082,H080,2025-04-14,576,240024.96
S000331,D0075,H007,2025-08-03,27,11536.56
S000332,D0006,H006,2025-03-01,250,99405.0
S000333,D0071,H004,2023-01-09,605,40462.4
S000334,D0007,H050,2023-07-26,974,286365.74
S000335,D0015,H076,2024-03-21,116,30785.24
S000336,D0109,H072,2023-02-05,739,246715.15
S000337,D0074,H089,2023-01-12,655,230985.75
S000338,D0071,H044,2025-05-29,768,51363.84
S000339,D0087,H085,2025-05-03,800,51856.0
S000340,D0023,H008,2024-01-28,528,75535.68
S000341,D0039,H088,2023-08-30,385,137210.15
S000342,D0086,H058,2025-10-01,276,128168.88
S000343,D0091,H022,2024-07-27,962,117181.22
S000344,D0041,H049,2024-05-11,806,163279.48
S000345,D0119,H069,2024-03-04,600,286932.0
S000346,D0023,H055,2024-06-29,470,67238.2
S000347,D0009,H056,2023-04-12,247,69777.5
S000348,D0080,H059,2025-08-21,69,11058.63
S000349,D0039,H092,2025-05-29,762,271569.18
S000350,D0069,H066,2025-05-27,606,153099.84
S000351,D0096,H034,2025-07-09,935,422105.75
S000352,D0073,H077,2024-08-11,992,321636.16
S000353,D0083,H076,2024-05-10,861,24461.01
S000354,D0069,H057,2024-07-30,215,54317.6
S000355,D0081,H017,2025-11-04,439,23631.37
S000356,D0082,H077,2023-10-09,796,331701.16
S000357,D0064,H004,2025-07-02,71,30484.56
S000358,D0092,H065,2024-10-03,890,201656.2
S000359,D0082,H051,2024-02-28,870,362537.7
S000360,D0064,H005,2024-04-16,961,412614.96
S000361,D0086,H093,2024-06-02,438,203398.44
S000362,D0075,H078,2024-11-22,296,126474.88
S000363,D0045,H055,2025-04-23,69,18483.72
S000364,D0039,H019,2024-06-24,869,309702.91
S000365,D0063,H060,2025-03-07,984,267520.08
S000366,D0109,H083,2025-03-08,650,217002.5
S000367,D0037,H045,2024-10-16,33,848.76
S000368,D0103,H001,2024-02-21,140,13608.0
S000369,D0085,H077,2024-01-09,957,15158.88
S000370,D0105,H028,2025-10-05,630,260032.5
S000371,D0013,H080,2023-01-08,831,266850.72
S000372,D0101,H085,2023-09-13,452,169707.92
S000373,D0082,H070,2025-02-17,200,83342.0
S000374,D0063,H047,2025-12-01,308,83735.96
S000375,D0019,H065,2023-07-04,386,114124.76
S000376,D0001,H010,2025-07-02,339,125589.33
S000377,D0057,H082,2024-11-15,653,130312.68
S000378,D0075,H100,2024-03-16,328,140147.84
S000379,D0009,H034,2025-09-02,908,256510.0
S000380,D0057,H098,2023-03-09,39,7782.84
S000381,D0002,H064,2023-11-04,766,317284.86
S000382,D0051,H079,2025-10-21,89,5982.58
S000383,D0088,H057,2023-06-09,782,49398.94
S000384,D0062,H066,2023-02-17,659,169771.58
S000385,D0057,H082,2025-07-27,706,140889.36
S000386,D0048,H006,2023-12-06,292,13058.24
S000387,D0053,H099,2025-10-20,224,68526.08
S000388,D0068,H088,2023-12-12,109,9477.55
S000389,D0095,H088,2023-02-11,333,23170.14
S000390,D0043,H098,2024-01-19,536,5360.0
S000391,D0111,H049,2023-05-18,512,199162.88
S000392,D0022,H045,2025-12-29,587,219197.54
S000393,D0076,H061,2023-07-23,730,323273.2
S000394,D0117,H026,2025-04-16,769,64695.97
S000395,D0009,H009,2025-06-01,904,255380.0
S000396,D0013,H002,2024-07-17,376,120741.12
S000397,D0013,H062,2025-05-20,921,295751.52
S000398,D0024,H004,2024-09-19,187,67078.77
S000399,D0033,H036,2024-04-08,480,22416.0
S000400,D0109,H071,2025-09-14,876,292452.6
S000401,D0079,H025,2023-04-23,476,30859.08
S000402,D0005,H040,2024-09-07,562,151099.32
S000403,D0084,H036,2025-03-16,113,28501.99
S000404,D0035,H005,2023-07-07,118,44927.32
S000405,D0001,H001,2025-06-10,954,353428.38
S000406,D0027,H060,2024-12-06,539,157280.2
S000407,D0002,H077,2024-12-03,509,210832.89
S000408,D0005,H084,2025-02-04,278,74743.08
S000409,D0099,H001,2024-09-04,820,319521.2
S000410,D0069,H055,2025-10-07,908,229397.12
S000411,D0076,H053,2023-10-12,422,186878.48
S000412,D0046,H055,2024-02-02,357,56677.32
S000413,D0055,H026,2023-09-13,435,8756.55
S000414,D0028,H005,2025-03-19,349,151172.84
S000415,D0090,H031,2025-06-02,387,89621.46
S000416,D0039,H081,2023-06-19,250,89097.5
S000417,D0015,H088,2024-03-05,507,134552.73
S000418,D0066,H010,2024-06-15,792,385030.8
S000419,D0100,H079,2025-06-08,448,214650.24
S000420,D0046,H065,2023-12-02,93,14764.68
S000421,D0075,H091,2023-02-14,890,380279.2
S000422,D0022,H043,2023-07-03,747,278944.74
S000423,D0094,H070,2023-12-23,638,190825.8
S000424,D0075,H008,2024-09-22,426,182021.28
S000425,D0030,H079,2025-07-16,237,111674.4
S000426,D0014,H005,2025-03-22,280,44483.6
S000427,D0069,H079,2024-08-16,416,105098.24
S000428,D0118,H053,2023-09-21,635,309308.5
S000429,D0044,H054,2025-12-05,808,355697.76
S000430,D0080,H015,2024-10-27,988,158346.76
S000431,D0094,H091,2024-10-26,89,26619.9
S000432,D0054,H094,2025-04-27,360,115563.6
S000433,D0079,H045,2023-07-13,806,52252.98
S000434,D0090,H065,2025-12-13,630,145895.4
S000435,D0022,H085,2024-10-09,432,161317.44
S000436,D0105,H088,2025-01-13,689,284384.75
S000437,D0032,H005,2025-03-13,606,132659.46
S000438,D0023,H074,2025-02-27,558,79827.48
S000439,D0030,H093,2023-03-16,659,310520.8
S000440,D0053,H089,2023-02-27,879,268903.68
S000441,D0075,H070,2023-03-11,742,317041.76
S000442,D0063,H035,2023-10-09,984,267520.08
S000443,D0062,H031,2025-01-25,767,197594.54
S000444,D0078,H080,2023-06-20,223,83060.81
S000445,D0034,H033,2025-11-04,245,18071.2
S000446,D0058,H067,2023-12-15,127,60163.71
S000447,D0072,H099,2024-08-26,372,9314.88
S000448,D0048,H045,2025-05-02,469,20973.68
S000449,D0089,H079,2025-08-19,186,25716.36
S000450,D0089,H076,2024-12-10,608,84062.08
S000451,D0008,H040,2024-10-06,25,10463.75
S000452,D0101,H036,2024-04-07,434,162949.64
S000453,D0105,H087,2023-02-28,640,264160.0
S000454,D0119,H034,2024-06-11,589,281671.58
S000455,D0118,H029,2024-05-20,90,43839.0
S000456,D0118,H085,2025-06-02,847,412573.7
S000457,D0026,H063,2023-04-03,945,94774.05
S000458,D0061,H012,2025-06-07,265,102170.75
S000459,D0008,H012,2023-10-31,569,238154.95
S000460,D0088,H048,2025-09-23,874,55210.58
S000461,D0080,H081,2025-08-05,573,91834.71
S000462,D0109,H012,2023-06-24,878,293120.3
S000463,D0101,H054,2023-09-16,817,306750.82
S000464,D0100,H026,2025-11-23,270,129365.1
S000465,D0015,H028,2023-01-10,944,250528.16
S000466,D0061,H095,2024-11-25,819,315765.45
S000467,D0097,H030,2025-08-22,305,108454.95
S000468,D0021,H059,2024-04-09,35,11783.1
S000469,D0092,H053,2024-04-28,232,52566.56
S000470,D0009,H040,2024-04-10,625,176562.5
S000471,D0078,H011,2025-06-07,901,335595.47
S000472,D0054,H073,2025-09-04,189,60670.89
S000473,D0048,H050,2024-10-28,456,20392.32
S000474,D0045,H022,2024-03-02,683,182962.04
S000475,D0045,H034,2024-04-24,931,249396.28
S000476,D0033,H060,2023-02-03,982,45859.4
S000477,D0038,H021,2023-12-09,983,316231.1
S000478,D0115,H041,2024-10-21,18,1407.06
S000479,D0085,H090,2023-04-10,318,5037.12
S000480,D0031,H056,2023-10-17,976,360192.8
S000481,D0109,H001,2024-12-05,245,81793.25
S000482,D0074,H010,2023-02-02,688,242623.2
S000483,D0084,H029,2024-08-08,874,220449.02
S000484,D0058,H099,2024-10-19,293,138802.89
S000485,D0030,H073,2023-04-07,440,207328.0
S000486,D0117,H014,2023-11-07,975,82026.75
S000487,D0069,H100,2024-11-14,194,49012.16
S000488,D0051,H075,2025-04-02,233,15662.26
S000489,D0050,H075,2024-12-26,42,9436.14
S000490,D0113,H018,2025-10-25,377,41266.42
S000491,D0060,H074,2025-07-18,894,446633.46
S000492,D0072,H099,2025-01-12,311,7787.44
S000493,D0109,H086,2023-09-27,746,249052.1
S000494,D0062,H033,2024-06-14,150,38643.0
S000495,D0008,H040,2024-09-03,81,33902.55
S000496,D0098,H082,2024-08-06,418,95701.1
S000497,D0051,H042,2023-01-19,500,33610.0
S000498,D0029,H051,2025-09-28,717,207148.47
S000499,D0011,H080,2023-08-27,638,242669.68
S000500,D0072,H043,2023-04-03,95,2378.8
S000501,D0113,H032,2025-07-25,961,105191.06
S000502,D0029,H037,2025-06-20,739,213504.49
S000503,D0081,H100,2023-01-01,507,27291.81
S000504,D0096,H014,2023-08-21,373,168390.85
S000505,D0045,H010,2024-10-24,129,34556.52
S000506,D0063,H073,2024-02-12,100,27187.0
S000507,D0047,H063,2025-12-03,700,120456.0
S000508,D0113,H066,2023-11-14,31,3393.26
S000509,D0108,H037,2025-08-05,52,13968.24
S000510,D0114,H016,2025-05-18,662,22514.62
S000511,D0035,H040,2023-04-20,683,260045.42
S000512,D0117,H084,2025-11-29,160,13460.8
S000513,D0016,H076,2023-04-12,768,34882.56
S000514,D0091,H038,2024-09-12,475,57859.75
S000515,D0115,H098,2025-10-30,225,17588.25
S000516,D0016,H011,2023-06-11,263,11945.46
S000517,D0026,H014,2025-08-27,297,29786.13
S000518,D0024,H067,2025-06-17,493,176844.03
S000519,D0004,H041,2023-07-11,675,143518.5
S000520,D0117,H058,2023-05-13,488,41055.44
S000521,D0091,H052,2025-07-01,536,65290.16
S000522,D0031,H062,2023-05-15,120,44286.0
S000523,D0072,H033,2025-10-12,78,1953.12
S000524,D0110,H090,2023-09-15,875,277637.5
S000525,D0049,H056,2023-05-30,162,41655.06
S000526,D0035,H094,2024-09-22,243,92519.82
S000527,D0006,H025,2023-04-24,714,283900.68
S000528,D0001,H030,2023-11-28,469,173750.43
S000529,D0101,H048,2023-10-06,893,335285.78
S000530,D0006,H040,2025-09-17,139,55269.18
S000531,D0075,H049,2025-05-22,70,29909.6
S000532,D0015,H015,2025-11-02,408,108279.12
S000533,D0068,H076,2025-04-04,43,3738.85
S000534,D0007,H048,2025-01-10,500,147005.0
S000535,D0075,H027,2024-03-06,542,231585.76
S000536,D0093,H028,2024-01-30,609,158260.83
S000537,D0039,H079,2025-02-04,36,12830.04
S000538,D0031,H005,2023-07-22,538,198548.9
S000539,D0011,H069,2025-06-30,16,6085.76
S000540,D0006,H017,2023-09-30,107,42545.34
S000541,D0091,H053,2025-09-09,337,41049.97
S000542,D0058,H073,2025-03-16,958,453833.34
S000543,D0112,H089,2024-04-25,802,392218.1
S000544,D0040,H008,2024-08-13,274,43360.5
S000545,D0043,H092,2025-07-20,596,5960.0
S000546,D0022,H024,2025-05-29,439,163931.38
S000547,D0098,H015,2023-07-24,442,101195.9
S000548,D0116,H017,2023-04-09,437,7437.74
S000549,D0019,H092,2025-06-09,641,189518.06
S000550,D0075,H015,2025-09-21,491,209794.48
S000551,D0015,H092,2024-09-11,643,170645.77
S000552,D0048,H081,2023-10-19,294,13147.68
S000553,D0033,H008,2024-01-07,785,36659.5
S000554,D0081,H069,2025-10-11,277,14910.91
S000555,D0096,H094,2024-08-28,693,312854.85
S000556,D0007,H047,2023-11-02,288,84674.88
S000557,D0097,H017,2024-12-23,843,299762.37
